topology,policy,failure_epoch_zero_based,classification,solver_status,solver_runtime_seconds,solver_mip_gap,failure_scenarios,affected_scenarios,affected_demands,protected_demands,unprotected_demands,reserved_slots,recovery_flows,audit_passed,audit_failures,schedule_file
InterDC8,DPP,0,FEASIBLE,OPTIMAL,0.2376258373260498,,26,25,127,127,0,56,209,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/interdc8_dpp_tau_0.json
InterDC8,DPP,1,FEASIBLE,OPTIMAL,0.24350714683532715,,26,23,71,71,0,56,144,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/interdc8_dpp_tau_1.json
InterDC8,DPP,2,FEASIBLE,OPTIMAL,0.2375929355621338,,26,22,65,65,0,56,137,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/interdc8_dpp_tau_2.json
InterDC8,DPP,3,FEASIBLE,OPTIMAL,0.2425379753112793,,26,18,28,28,0,56,79,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/interdc8_dpp_tau_3.json
InterDC8,DPP,4,FEASIBLE,OPTIMAL,0.2358100414276123,,26,16,20,20,0,56,61,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/interdc8_dpp_tau_4.json
InterDC8,DPP,5,FEASIBLE,OPTIMAL,0.25459814071655273,,26,3,3,3,0,56,11,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/interdc8_dpp_tau_5.json
InterDC8,DPP,6,FEASIBLE,OPTIMAL,0.2297368049621582,,26,0,0,0,0,56,0,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/interdc8_dpp_tau_6.json
InterDC8,DDPP,0,FEASIBLE,OPTIMAL,0.23443102836608887,,26,25,127,127,0,56,209,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/interdc8_ddpp_tau_0.json
InterDC8,DDPP,1,FEASIBLE,OPTIMAL,0.241163969039917,,26,23,71,71,0,56,144,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/interdc8_ddpp_tau_1.json
InterDC8,DDPP,2,FEASIBLE,OPTIMAL,0.24226903915405273,,26,22,65,65,0,56,137,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/interdc8_ddpp_tau_2.json
InterDC8,DDPP,3,FEASIBLE,OPTIMAL,0.241257905960083,,26,18,28,28,0,56,79,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/interdc8_ddpp_tau_3.json
InterDC8,DDPP,4,FEASIBLE,OPTIMAL,0.2441251277923584,,26,16,20,20,0,56,61,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/interdc8_ddpp_tau_4.json
InterDC8,DDPP,5,FEASIBLE,OPTIMAL,0.2504260540008545,,26,3,3,3,0,56,11,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/interdc8_ddpp_tau_5.json
InterDC8,DDPP,6,FEASIBLE,OPTIMAL,0.241912841796875,,26,0,0,0,0,56,0,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/interdc8_ddpp_tau_6.json
